,HomeTeam,AwayTeam,ELO Home,ELO Away,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,HomeTeamLP,AwayTeamLP,MW,HTFormPtsStr,HTFormPts
272,Man City,Man Utd,2013,1934,4,1,H,43,46,23,39,50,51,D,5,1,8,17,1,5,2,3,0,0,1.45,4.5,7,18,3,28,D,1
273,Tottenham,Crystal Palace,1813,1690,2,0,H,37,31,20,46,47,31,W,9,1,11,12,7,3,0,3,0,0,1.53,4,6.5,9,18,28,W,3
274,Chelsea,Everton,1885,1759,2,0,H,35,45,32,29,33,53,D,5,2,9,9,6,6,1,1,0,0,2.05,3.6,3.5,6,15,28,D,1
275,West Ham,Leeds,1804,1727,5,2,H,44,47,30,48,50,40,W,10,6,6,4,5,5,1,0,0,0,1.18,7.5,15,7,5,28,W,3
276,Man City,Southampton,2013,1693,1,1,D,43,36,23,31,50,42,D,3,6,10,10,2,2,2,3,0,0,3.8,3.3,2.05,18,11,28,D,1
277,Newcastle,Aston Villa,1500,1718,0,0,D,27,39,38,32,31,36,W,4,8,16,6,8,5,3,0,0,0,4.75,4,1.7,4,8,28,W,3
278,Leeds,Chelsea,1727,1885,1,0,H,47,35,48,32,40,33,L,4,1,16,15,3,2,3,1,0,0,2.15,3.2,3.6,5,6,28,L,0
279,Crystal Palace,West Brom,1690,1624,1,2,A,31,21,46,54,31,19,L,4,5,9,6,7,4,0,4,0,0,1.83,3.5,4.5,18,18,28,L,0
280,Everton,Burnley,1759,1711,0,3,A,45,17,31,39,53,27,L,0,7,14,13,4,2,0,0,0,0,10,5,1.33,15,18,29,L,0
281,Fulham,Man City,1631,2013,1,2,A,29,47,39,24,27,53,W,4,6,11,10,4,5,0,0,0,0,2.9,3.1,2.5,13,18,29,W,3
282,Southampton,Brighton,1693,1696,5,0,H,37,32,32,40,43,31,D,10,0,10,9,9,1,0,2,0,0,1.5,4.2,6.5,11,18,29,D,1
283,Leicester,Sheffield,1802,1602,2,1,H,49,21,31,38,54,21,D,3,3,12,14,6,3,1,2,0,1,2.55,3.4,2.75,20,18,29,D,1
284,Arsenal,Tottenham,1830,1813,1,0,H,31,37,41,21,37,47,W,4,0,12,2,6,3,4,0,0,0,1.83,3.6,4.33,1,9,29,W,3
285,Man Utd,West Ham,1934,1804,0,1,A,47,45,43,30,51,53,L,5,4,17,10,3,2,2,1,0,0,4.75,3.75,1.72,3,7,29,L,0
286,Wolves,Liverpool,1757,1910,1,2,A,37,50,39,29,33,47,W,6,4,13,12,13,7,2,2,0,0,2.37,3.4,3,18,2,29,W,3
287,Fulham,Leeds,1631,1727,3,0,H,29,48,39,48,27,43,W,6,1,12,5,3,1,0,1,0,0,1.66,3.5,6,13,5,29,W,3
288,Brighton,Newcastle,1696,1500,3,3,D,32,27,40,38,31,32,L,5,7,18,8,3,5,3,1,0,0,2.8,3.5,2.45,18,4,29,L,0
289,West Ham,Arsenal,1804,1830,0,2,A,45,31,30,41,53,37,W,1,3,18,13,5,8,3,2,0,0,2.9,3.3,2.45,7,1,29,W,3
