,HomeTeam,AwayTeam,ELO Home,ELO Away,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM1Conv,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,HomeTeamLP,AwayTeamLP,MW,HTFormPtsStr,HTFormPts
53,Man City,Crystal Palace,2013,1690,5,0,H,16,0,2,8,13,0,W,5,9,0,6,7,8,2,3,1,0,0,1.14,10,21,18,18,6,W,5
54,Southampton,Man United,1693,1600,0,1,A,4,16,4,2,8,13,W,5,4,4,12,9,8,4,1,4,0,0,5.5,3.8,1.73,11,3,6,W,5
55,Stoke,Chelsea,1600,1885,0,4,A,5,8,6,5,5,10,L,0,2,4,5,14,5,0,2,2,0,0,6,4.1,1.62,18,6,6,L,0
56,Swansea,Watford,1600,1600,1,2,A,2,7,5,9,5,8,D,3,3,4,9,16,5,4,1,3,0,0,2.4,3.3,3.25,18,18,6,D,3
57,West Ham,Tottenham,1804,1813,2,3,A,4,7,10,3,4,8,D,3,4,5,10,20,4,3,4,2,0,1,6,4.33,1.6,7,9,6,D,3
58,Brighton,Newcastle,1696,1500,1,0,H,4,6,7,4,4,9,L,0,3,5,6,8,2,8,2,1,0,0,2.8,3.1,2.9,18,4,6,L,0
59,Arsenal,West Brom,1830,1624,2,0,H,7,4,8,4,7,8,D,3,6,3,8,17,7,4,1,4,0,0,1.33,5.5,11,1,18,6,D,3
60,Bournemouth,Leicester,1600,1802,0,0,D,4,9,11,12,3,4,L,0,4,1,6,10,7,5,1,0,0,0,2.8,3.25,2.5,18,20,7,L,0
61,Chelsea,Man City,1885,2013,0,1,A,12,21,5,2,13,16,W,5,2,6,8,13,4,8,0,2,0,0,2.75,3.3,2.5,6,18,7,W,5
62,Huddersfield,Tottenham,1600,1813,0,4,A,5,10,3,5,9,11,D,3,1,7,7,4,4,7,1,1,0,0,8.5,4.75,1.36,18,9,7,D,3
63,Man United,Crystal Palace,1600,1690,4,0,H,17,0,2,13,16,0,W,5,7,1,6,9,6,5,0,0,0,0,1.17,7,15,3,18,7,W,5
64,Stoke,Southampton,1600,1693,2,1,H,5,4,10,5,5,8,L,0,6,3,11,10,5,6,1,2,0,0,2.88,3.2,2.45,18,11,7,L,0
65,West Brom,Watford,1624,1600,2,2,D,4,9,6,10,8,11,L,0,4,3,12,11,7,6,3,0,0,0,2.15,3.2,3.5,18,18,7,L,0
66,West Ham,Swansea,1804,1600,1,0,H,6,3,13,7,4,5,L,0,4,1,15,13,2,1,3,2,0,0,1.8,3.5,4.5,7,18,7,L,0
67,Arsenal,Brighton,1830,1696,2,0,H,9,5,8,7,10,7,W,5,12,1,7,8,6,5,0,2,0,0,1.2,6.5,13,1,18,7,W,5
68,Everton,Burnley,1759,1711,0,1,A,4,6,11,5,7,9,W,5,4,2,14,7,9,3,2,2,0,0,1.67,3.6,5.75,15,18,7,W,5
69,Newcastle,Liverpool,1500,1910,1,1,D,6,12,5,11,9,11,L,0,5,2,11,6,1,5,1,1,0,0,5,3.8,1.67,4,2,7,L,0
70,Burnley,West Ham,1711,1804,1,1,D,7,7,5,13,12,7,W,5,5,6,11,14,7,4,2,2,0,1,2.75,3.25,2.8,18,7,8,W,5
71,Crystal Palace,Chelsea,1690,1885,2,1,H,0,12,17,6,0,13,L,0,5,5,7,6,5,8,2,1,0,0,9,5,1.4,18,6,8,L,0
72,Liverpool,Man United,1910,1600,0,0,D,13,21,12,2,12,19,D,3,5,1,7,13,7,3,0,2,0,0,2.8,3.25,2.8,2,3,8,D,3
73,Man City,Stoke,2013,1600,7,2,H,22,7,2,11,19,8,W,5,11,1,5,8,5,0,0,1,0,0,1.14,9.5,21,18,18,8,W,5
74,Swansea,Huddersfield,1600,1600,2,0,H,3,5,8,7,5,9,L,0,3,2,12,16,5,3,1,5,0,0,2.2,3.25,3.75,18,18,8,L,0
75,Tottenham,Bournemouth,1813,1600,1,0,H,14,4,5,11,14,4,W,5,6,1,9,7,9,5,1,3,0,0,1.2,8,15,9,18,8,W,5
76,Watford,Arsenal,1600,1830,2,1,H,11,11,12,8,12,13,D,3,2,6,8,10,2,5,1,0,0,0,5.25,4.33,1.65,18,1,8,D,3
77,Brighton,Everton,1696,1759,1,1,D,5,4,9,12,7,7,L,0,3,6,12,10,7,1,4,1,0,0,3.25,3.3,2.4,18,15,8,L,0
